filename	first_sentence	second_sentence	label
1-guideline.txt	a. ‘Domestic payment transactions’ refer to payment transactions, where the                  payment initiation service provider and the account servicing payment service                  provider are located in the same Member State.	b. ‘Cross-border payment transactions within the EEA’ refer to payment                  transactions, where the payment initiation service provider and the account                  servicing payment service provider are located in different Member States.                                                                                                   25 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	1
1-guideline.txt	b. ‘Cross-border payment transactions within the EEA’ refer to payment                  transactions, where the payment initiation service provider and the account                  servicing payment service provider are located in different Member States.                                                                                                   25 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	                 c. ‘Cross-border payment transactions outside the EEA’ refer to payment                  transactions, where the payment initiation service provider is located within the                  EEA and the account servicing payment service provider is located outside the EEA.	1
1-guideline.txt	2.1.   The competent authority should report statistical information on:	a.     total payment transactions in line with the different breakdowns in Annex 2 and in         accordance with Guideline 1.2; and	1
1-guideline.txt	a.     total payment transactions in line with the different breakdowns in Annex 2 and in         accordance with Guideline 1.2; and	b.     total fraudulent payment transactions in line with the different breakdowns in Annex 2 and         as defined under Guideline 1.3(f).	1
			
1-guideline.txt	FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	 EBA/GL/2018/05	0
1-guideline.txt	 EBA/GL/2018/05	 18 July 2018	0
1-guideline.txt	Final Report	Guidelines on fraud reporting under the Payment Services Directive 2 (PSD2) FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	0
1-guideline.txt	Guidelines on fraud reporting under the Payment Services Directive 2 (PSD2) FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	Contents	0
1-guideline.txt	Contents	1. Executive Summary                                                              3	0
1-guideline.txt	1. Executive Summary                                                              3	2. Abbreviations                                                                  4	0
1-guideline.txt	2. Abbreviations                                                                  4	3. Background and rationale                                                       5	0
1-guideline.txt	3. Background and rationale                                                       5	4. Guidelines                                                                    11	0
1-guideline.txt	4. Guidelines                                                                    11	5. Accompanying documents                                                        44	0
1-guideline.txt	5. Accompanying documents                                                        44	5.1 Cost benefit analysis                                               44	0
1-guideline.txt	5.1 Cost benefit analysis                                               44	5.2 Feedback on the public consultation and on the opinion of the BSG   51	0
1-guideline.txt	5.2 Feedback on the public consultation and on the opinion of the BSG   51	                                                                                  2 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	0
1-guideline.txt	                                                                                  2 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	1. Executive Summary Directive (EU) 2015/2366 on payment services in the internal market (Payment Services Directive 2 – PSD2) entered into force in the European Union (EU) on 12 January 2016 and applies since 13 January 2018. One of the PSD2 requirements applicable to all payment service providers (PSPs) relates to the reporting of fraud data on means of payment. More specifically, Article 96(6) PSD2 states that PSPs must provide ‘statistical data on fraud relating to different means of payment to their competent authorities’ and that the competent authorities (CAs) must, in turn, ‘provide EBA and the ECB with such data in an aggregated form’.	0
1-guideline.txt	1. Executive Summary Directive (EU) 2015/2366 on payment services in the internal market (Payment Services Directive 2 – PSD2) entered into force in the European Union (EU) on 12 January 2016 and applies since 13 January 2018. One of the PSD2 requirements applicable to all payment service providers (PSPs) relates to the reporting of fraud data on means of payment. More specifically, Article 96(6) PSD2 states that PSPs must provide ‘statistical data on fraud relating to different means of payment to their competent authorities’ and that the competent authorities (CAs) must, in turn, ‘provide EBA and the ECB with such data in an aggregated form’.	In order to ensure that these high-level provisions are implemented consistently among Member States and that the aggregated data provided to the EBA and the ECB are comparable and reliable, the EBA, in close cooperation with the ECB, is proposing two sets of Guidelines (GL) on the reporting requirements of fraudulent payment transactions. On 2 August 2017, the EBA published a consultation paper (CP) and the consultation period closed on 3 November 2017. The EBA received	0
1-guideline.txt	In order to ensure that these high-level provisions are implemented consistently among Member States and that the aggregated data provided to the EBA and the ECB are comparable and reliable, the EBA, in close cooperation with the ECB, is proposing two sets of Guidelines (GL) on the reporting requirements of fraudulent payment transactions. On 2 August 2017, the EBA published a consultation paper (CP) and the consultation period closed on 3 November 2017. The EBA received	48 responses to the CP representing a wide range of market participants, regulated and unregulated. The EBA, in close cooperation with the ECB, has assessed the responses and identified approximately 200 different issues or requests for clarification that respondents had raised.	0
1-guideline.txt	48 responses to the CP representing a wide range of market participants, regulated and unregulated. The EBA, in close cooperation with the ECB, has assessed the responses and identified approximately 200 different issues or requests for clarification that respondents had raised.	The EBA agreed with some of these proposals, and their underlying rationale, and has made a number of changes to the GL and related annexes as a result. This includes the requirements in relation to the reporting frequency, which the EBA has changed from a set of data on a quarterly frequency and a more detailed set of data on a yearly frequency to one set of data on a semi-annual frequency. The geographical area, too, has been reduced to the same area for all of the requirements in the GL (with no country-by-country data requirement), and the number of categories of fraudulent transactions to be reported has been reduced from three to two, with fraudulent transactions where the payer is the fraudster now no longer within the scope of the GL. Finally, the fraud types have been aligned across the payment services and instruments. The other requirements proposed in the CP remain unchanged, including the exclusion of account information service providers from the fraud statistics reporting obligations.	0
1-guideline.txt	The EBA agreed with some of these proposals, and their underlying rationale, and has made a number of changes to the GL and related annexes as a result. This includes the requirements in relation to the reporting frequency, which the EBA has changed from a set of data on a quarterly frequency and a more detailed set of data on a yearly frequency to one set of data on a semi-annual frequency. The geographical area, too, has been reduced to the same area for all of the requirements in the GL (with no country-by-country data requirement), and the number of categories of fraudulent transactions to be reported has been reduced from three to two, with fraudulent transactions where the payer is the fraudster now no longer within the scope of the GL. Finally, the fraud types have been aligned across the payment services and instruments. The other requirements proposed in the CP remain unchanged, including the exclusion of account information service providers from the fraud statistics reporting obligations.	The EBA has in addition made particular efforts, together with the ECB, to further align the GL with other similar reporting instruments mentioned by the respondents, in particular with the ECB Regulation on payment statistics (ECB/2013/43) applicable to PSPs within the euro area and the complementary ECB Recommendation on payment statistics (ECB/2013/44) addressed to non-euro area national central banks.	0
1-guideline.txt	The EBA has in addition made particular efforts, together with the ECB, to further align the GL with other similar reporting instruments mentioned by the respondents, in particular with the ECB Regulation on payment statistics (ECB/2013/43) applicable to PSPs within the euro area and the complementary ECB Recommendation on payment statistics (ECB/2013/44) addressed to non-euro area national central banks.	Next steps The GL will be translated into the official EU languages and published on the EBA website. The deadline for CAs to report whether they comply with the GL will be two months after the publication of the translations. The GL will apply from 1 January 2019.	0
1-guideline.txt	Next steps The GL will be translated into the official EU languages and published on the EBA website. The deadline for CAs to report whether they comply with the GL will be two months after the publication of the translations. The GL will apply from 1 January 2019.	                                                                                                   3 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	0
1-guideline.txt	                                                                                                   3 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	2. Abbreviations AISP             Account Information Service Provider ASPSP            Account Servicing Payment Service Provider ATM              Automated Teller Machine CA               Competent Authority BSG              Banking Stakeholder Group CBPII            Card-Based Payment Instruments Issuer CP               Consultation Paper CPMI             Committee on Payments and Market Infrastructures CSC              Common and Secure open standards for Communication EBA              European Banking Authority ECB              European Central Bank EEA              European Economic Area EMD              Electronic Money Directive EMI              Electronic Money Institution ESCB             European System of Central Banks EU               European Union GL               Guidelines MS               Member State(s) PI               Payment Institution PISP             Payment Initiation Service Provider POS              Point Of Sale PSD              Payment Services Directive PSP              Payment Service Provider PSU              Payment Service User RTS              Regulatory Technical Standards SCA              Strong Customer Authentication	0
1-guideline.txt	2. Abbreviations AISP             Account Information Service Provider ASPSP            Account Servicing Payment Service Provider ATM              Automated Teller Machine CA               Competent Authority BSG              Banking Stakeholder Group CBPII            Card-Based Payment Instruments Issuer CP               Consultation Paper CPMI             Committee on Payments and Market Infrastructures CSC              Common and Secure open standards for Communication EBA              European Banking Authority ECB              European Central Bank EEA              European Economic Area EMD              Electronic Money Directive EMI              Electronic Money Institution ESCB             European System of Central Banks EU               European Union GL               Guidelines MS               Member State(s) PI               Payment Institution PISP             Payment Initiation Service Provider POS              Point Of Sale PSD              Payment Services Directive PSP              Payment Service Provider PSU              Payment Service User RTS              Regulatory Technical Standards SCA              Strong Customer Authentication	                                                                      4 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	0
1-guideline.txt	                                                                      4 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	3. Background and rationale	0
1-guideline.txt	3. Background and rationale	3.1 Background	0
1-guideline.txt	3.1 Background	1. Directive (EU) 2015/2366 on payment services in the internal market (Payment Services Directive 2    – PSD2) entered into force on 12 January 2016 and applies since 13 January 2018. One of the    objectives of PSD2 is to ensure the security of electronic payments and ‘to reduce, to the maximum    extent possible, the risk of fraud’ (recital 95).	0
1-guideline.txt	1. Directive (EU) 2015/2366 on payment services in the internal market (Payment Services Directive 2    – PSD2) entered into force on 12 January 2016 and applies since 13 January 2018. One of the    objectives of PSD2 is to ensure the security of electronic payments and ‘to reduce, to the maximum    extent possible, the risk of fraud’ (recital 95).	2. More specifically, Article 96(6) PSD2 provides that ‘Member States shall ensure that payment    service providers provide, at least on an annual basis, statistical data on fraud relating to different    means of payment to their competent authorities (CAs). Those CAs shall provide EBA and the ECB    with such data in an aggregated form’.	0
1-guideline.txt	2. More specifically, Article 96(6) PSD2 provides that ‘Member States shall ensure that payment    service providers provide, at least on an annual basis, statistical data on fraud relating to different    means of payment to their competent authorities (CAs). Those CAs shall provide EBA and the ECB    with such data in an aggregated form’.	3. Not all Member States (MS) currently collect fraud data for all payment instruments, and those    that do tend to use different definitions of what a fraudulent payment transaction is, different    methodologies and/or different data breakdowns. In particular, MS that currently do collect fraud    data either do not cover transactions using all payment instruments or transactions made through    all types of payment service providers (PSPs) within their jurisdiction, or the data categories and/or    level of detail differs.	0
1-guideline.txt	3. Not all Member States (MS) currently collect fraud data for all payment instruments, and those    that do tend to use different definitions of what a fraudulent payment transaction is, different    methodologies and/or different data breakdowns. In particular, MS that currently do collect fraud    data either do not cover transactions using all payment instruments or transactions made through    all types of payment service providers (PSPs) within their jurisdiction, or the data categories and/or    level of detail differs.	4. The European System of Central Banks (ESCB), in its function as overseer of payment schemes and    instruments, collects fraud data too, but those data are limited to card payments and based on    non-legally binding reporting requirements. Additional payment statistics are collected by the ECB,    with the assistance of the euro area national central banks, from euro area PSPs and these include    data on all means of payments but do not, at the moment, include reporting of data related to    fraudulent payment transactions. 1	0
1-guideline.txt	4. The European System of Central Banks (ESCB), in its function as overseer of payment schemes and    instruments, collects fraud data too, but those data are limited to card payments and based on    non-legally binding reporting requirements. Additional payment statistics are collected by the ECB,    with the assistance of the euro area national central banks, from euro area PSPs and these include    data on all means of payments but do not, at the moment, include reporting of data related to    fraudulent payment transactions. 1	5. Against this background, the EBA, in close cooperation with the ECB, has developed two sets of    Guidelines (GL) on fraud data reporting requirements. The two GL aim to ensure that the highlevel provisions in Article 96(6) PSD2 are implemented consistently across the MS of the European    Union (EU) and the European Economic Area (EEA) and that the aggregated data provided to the    EBA and the ECB are comparable and reliable.	0
1-guideline.txt	5. Against this background, the EBA, in close cooperation with the ECB, has developed two sets of    Guidelines (GL) on fraud data reporting requirements. The two GL aim to ensure that the highlevel provisions in Article 96(6) PSD2 are implemented consistently across the MS of the European    Union (EU) and the European Economic Area (EEA) and that the aggregated data provided to the    EBA and the ECB are comparable and reliable.	6. The first set of GL is addressed to PSPs while the second is addressed to CAs. The first set of GL sets    out requirements applicable to all PSPs, with the exception of account information service    providers (AISPs) 2, while the second set of GL sets out requirements on providing data in an    aggregate form to the ECB and the EBA that are applicable to CAs.	0
1-guideline.txt	6. The first set of GL is addressed to PSPs while the second is addressed to CAs. The first set of GL sets    out requirements applicable to all PSPs, with the exception of account information service    providers (AISPs) 2, while the second set of GL sets out requirements on providing data in an    aggregate form to the ECB and the EBA that are applicable to CAs.	7. On 2 August 2017, the EBA published a consultation paper (CP) for a three-month consultation    period. The EBA received 48 responses to the CP representing a wide range of market participants,    including PSPs, merchants and technology service providers.	0
1-guideline.txt	7. On 2 August 2017, the EBA published a consultation paper (CP) for a three-month consultation    period. The EBA received 48 responses to the CP representing a wide range of market participants,    including PSPs, merchants and technology service providers.	1     See ECB Regulation of the European Central Bank of 28 November 2013 on payments statistics, ECB/2013/43 2     PSPs that provide only account information services, but no other payment services, as referred to in Article 33 of PSD2	0
1-guideline.txt	1     See ECB Regulation of the European Central Bank of 28 November 2013 on payments statistics, ECB/2013/43 2     PSPs that provide only account information services, but no other payment services, as referred to in Article 33 of PSD2	                                                                                                                               5 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	0
1-guideline.txt	                                                                                                                               5 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	8. The EBA, in close cooperation with the ECB, has reviewed and assessed the responses, and has    identified in the process approximately 200 different issues or requests for clarification that    respondents had raised. Section 3.2 presents an assessment of the four main concerns that were    raised, while the feedback table in section 5.2 provides an exhaustive and comprehensive    assessment of all of the comments that the EBA received and any changes that the EBA decided to    make to the GL as a result, where applicable. Section 4, in turn, presents the final GL themselves.	0
1-guideline.txt	8. The EBA, in close cooperation with the ECB, has reviewed and assessed the responses, and has    identified in the process approximately 200 different issues or requests for clarification that    respondents had raised. Section 3.2 presents an assessment of the four main concerns that were    raised, while the feedback table in section 5.2 provides an exhaustive and comprehensive    assessment of all of the comments that the EBA received and any changes that the EBA decided to    make to the GL as a result, where applicable. Section 4, in turn, presents the final GL themselves.	    3.2 Rationale	0
1-guideline.txt	    3.2 Rationale	9. Overall, the respondents supported the EBA developing these GL to provide a consistent approach    and a level-playing field for all PSPs across all MS.	0
1-guideline.txt	9. Overall, the respondents supported the EBA developing these GL to provide a consistent approach    and a level-playing field for all PSPs across all MS.	10. The main concerns that arose during the consultation and that resulted in the EBA making changes     to the GL related to: (1) the objectives and the alignment with other instruments, (2) the categories     of fraudulent transactions to be reported, (3) the scope and addressees of the GL and (4) the     reporting burden (regarding frequency, application date and detailed data breakdown).	0
1-guideline.txt	10. The main concerns that arose during the consultation and that resulted in the EBA making changes     to the GL related to: (1) the objectives and the alignment with other instruments, (2) the categories     of fraudulent transactions to be reported, (3) the scope and addressees of the GL and (4) the     reporting burden (regarding frequency, application date and detailed data breakdown).	Objectives and the alignment with other instruments	0
1-guideline.txt	Objectives and the alignment with other instruments	11. The respondents generally agreed with the objectives listed in the CP but stated that it was unclear     whether a direct link between these GL and the Regulatory technical standards on strong customer     authentication and common and secure open standards for communication (RTS on SCA and CSC)     existed or not. Some supported such a link while others did not, putting forward arguments     accordingly.	0
