text	validation
Jose Herrera. La talla es más grande de lo que marca las tablas el material está bien calidad precio,pero la talla una pena	0
Se empañan igual. Se empañan igual, y cambiar el. Plástico entre las gafas cuesta muchísimo.	0
Se equivocaron. Pedí una verde de acero inoxidable y 750ml, y me mandaron una negra de 500ml de plástico, la devolví y me devolvieron el dinero, pero me quedé sin llevarmela a las vacaciones.	0
Cumple su función. Buen producto. Tarda unos minutos en alcanzar la temperatura apropiada pero luego tiene una duración más que aceptable.	1
buena calidad precio. buen balón para ser de plástico. por el precio no se puede pedir más.	1
Buena compra. Muy buena calidad y fácil de poner. Me recoje todo el pelo y llego en el tiempo estipulado.	1
Igual soy yo. No sujeta se resbala igual en mi nariz??? No se a mi no me han dado resultados	0
Regulares. No se ajustan bien al oido, mucho peor que otras marcas	0
Malo. Un cierre mal y las costuras se rompió lo devolvemos	0
Resbalan. No cumplen lo dicho, mejor comprarse unos de mayor precio y calidad. Acabarás tirándolos.	0
No entra agua. Fácilmente ajustables y quedan muy bien adaptadas. No entra agua	1
Satisfacción. Muy contento con la compra, aunque tenía dudas después de leer algunos comentarios.	1
Bueno pero sin pastillas regalo. Dijo que traía pastillas de regalo pero no trajo nada solo el disco	0
Buen producto. Buen producto, estable, robusto y no pesa en exceso. Entrega rápida. Añadiría la posibilidad de agregar mas niveles de altura.	1
Recomendable. Buena calidad del producto	1
Contenta con el producto.. La tengo en dos tamaños. Pequeña para mi hijo y grande para mí. Mantiene el agua fresquita. Muy recomendable	1
excelente relación calidad precio. muy bueno y de buena calidad	1
Bonita pero se da de si.. Es bonita, pero se me dio de si a las pocas semanas.	0
Decepcionate. Mal el tamaño no es el adecuado y la correa no se ajusta biem. No lo recomiendo	0
Falta tabla ejercicios. El producto se ve bueno.... buena calidad no le pongo 5 estrellas por que no me viene con una tabla de ejercicios tendré que buscar en internet	0
me llegó muy tarde. Me llegó muy tarde cuando ya no lo necesitaba, pretendí devolverlo pero solo me ofrecieron una compensación del 20 %	0
Todo bien. La calidad es similar a la correa original, y está bien terminada. El reloj ajusta correctamente y no tiene restos de silicona que recortar ni nada parecido.	0
Malo. Mala calidad se descosió todo y no es impermeable	0
Funciona con polar m400. Va muy bien, parece más fuerte que la original.	1
Encantada. Fue un regalo para una amiga y está encantada. Materiales buenos y muy bonito	1
Buen frontal. Este frontal se lo he regalado a un amigo para su cumpleaños. Me ha dicho que está muy contento. TIene mucha potencia la luz y encantado de que se puedan cargar con USB.	0
Buen producto. Material bueno se adapta bien al manillar y en marcha no vibra pero el sistema de ajuste para el agarre del móvil hay que ayudarle en la zona de la guía cuando se está apretando si no se queda cogida de esa zona y no ajusta por igual. Montado en un patín eléctrico marca CECOTEC para un iPhone 6S	1
Buenas calidades, pero destiñe. La mochila tiene muy buenas calidades, y no hay queja posible en principio por su uso como mochila, pero llega el día en que vuelves de viaje tras su primer uso y ves marcas de color en toda la ropa. Pedida devolución	0
Casi. Esperaba poder modificar los bloques de información en pantalla	0
Falla la medición de la cadencia. Cumple su función, el único pero es que no hace una medición contínua de la cadencia, o al menos no aparece así en la App, te da picos, de vez en cuando te lo indica, pero muy rápidamente, tienes que estar atento para verlo. Me parece un gran fallo, pero ya no sé si es del rodillo o de la App (con la última actualización el problema persiste)	1
Pilas gastadas. El producto llego con las pilas gastadas, además ilumina muy muy poco	0
Mucho almacenamiento.. Mucho almacenamiento. Si tuviera algo negativo, pero no lo hago es que se pega un poco más alto de lo que estoy acostumbrado, pero me ajustan al ángulo que el teléfono está en.	1
Está bien estéticamente, pero calidad limitada. Por el precio no pretendas pedirle calidad. Estéticamente está bien. La silicona de la pernera aprieta mucho.	0
Buen concepto. Un concepto de muñequeras-guantes muy bueno ya que se puede usar en diferentes deportes y que deja practicamente la mano al aire a la ves que da protección en las zonas solicitadas como la muñeca y la palma de la mano. Me gusta el diseño, el material aunque creo que, con algunos cambios pueden llegar a ser más resistentes. El material que está tocando la piel es transpirable y está cómodo a la hora de usar. Hai que ser atento a la hora de elegir la medida.	1
Buena calidad pero hay que mejorar algo importante.. Un producto a buen precio, lo llevo en las llaves del coche las cuales lo uso cada día y pude comprobar un fallo que te puede dar algún susto. En resumido: Positivo: + Precio. + Calidad y acabados de los materiales. Negativo: - Y aquí el problema principal y el porque de no poner las 5 Estrellas. En mas de 2 ocasiones al guardar lo en el bolsillo de la mochila o en otro lugar, el mosquetón no tiene una gran dureza en el muelle haciendo que este se suelte del llavero y se caiga y se pueda perder, por suerte en esas ocasiones lo pude encontrar. Lo mas seguro es que del lado donde esta enganchado al llavero le ponga cinta para que no se pueda abrir ese lado y perder. * Si este comentario te ayudo dale al botón de Útil para ayudar a otras personas que como tu le podrían ayudar. * Este comentario aunque sea elaborado es mi propia opinión y en ningún momento he sido contactado/pagado por la marca para poner este comentario	0
Guantes Chinos. Guantes con olor a plástico chino. Plásticos pegados sobre tela sin costuras. Por su precio correctos para llevar un mínimo de protección. Pero nada parecido a los guantes de marcas conocidas. El pobre gasta 2 veces.	0
Viene rota. Ha venido rota de la boquilla. El trozo de cristal se ve dentro. Espero no tener problemas con la devolución.	0
Perfecto. Súper cómodo de llevar y a veces lo uso incluso para un día rutinario con un poco más de movimiento de lo normal	1
Quiero mi paquete. Sigo sin recibir mi producto ya lleva un monton de dias de retraso, pero cobrarmelo si lo abeis cobrado pero todavia no me lo habeis entregado	0
Bomba pequeñita. Bomba pequeña y se ve fragil, inflado facil pero al final le cuesta bastante y no llega al inflado total, ni de pelotas de futbol ni de bicicletas, pero hace el apaño	1
Ligera y comoda. Poca duración de batería. Y poca luminosidad en luz de día.	0
Pésima. Pésima calidad de. La pulsera es demasiado grande grande, y no puede hacerse más pequeña. Además se suelta cada dos por tres. Por su culpa, la pulsera se abrió, y mi reloj cayó al suelo rompiéndose la pantalla. Mejor optar por otra opción	0
Cam 360. Lo devolví por que no graba con audio y la calidad de la imagen no es muy buena. Al final compre la de Samsung.	0
funda. un desastre no tiene largo de cinta para llevar en la espalda	0
Perfecto para el deporte. Llevo dos años con el reloj y funciona a la perfeccion , dura mucho la bateria , tiene infinidad de deportes , controlo las pulsaciones de mis entrenamientos, le recomiendo.	1
Buena proteccion. Queda un poco justa. Me gustaria que ajustara un poco mas ceñida. Pero va bien	0
En inglés.. Lo he comprado más caro por estar agotado en otros sitios, y cuando ha llegado está en inglés :-( Lo he tenido que devolver.	0
Buen producto. Buen sensor, la cinta no se mueve nada y se sincroniza al momento	1
Talla es muy grande para chica.. Cumple su función pero la Talla es muy grande para la muñeca de una chica y no esta indicado en ningún sitio.	0
Pin pon. En el peso de la pala es más tirando a pesada que ligera	1
bueno..... Pues las gafas son un poco-demasiado anchas para mi gusto. Los cristales están bien y para uso en bici pues bien también. Si tienes un buen cabezón estas son tus gafas, pero si tienes cara de pepino como yo, mejor que no te las compres.... En cuanto a su funcionalidad y calidad no hay quejas para el precio que tienen.	0
Cumple su cometido brutalmente.. El aparato como principal función que es trabajar la zona abdominal es un 10, lo único que me deja un poco frío es el encaje de la parte de los cuernos para agarrarse, que da la sensación de que a la larga de tanto jalón puede acabar rompiendo (espero que sean paranoias mías). Por todo lo demás un banco muy estable y eficaz.	1
Plazo entrega no cumplido. Demasiado tiempo de entrega. Tardaron 20 días más de lo prometido	0
Cumple con mis expectativas. Buena calidad shimano	1
Muy bien. La correa cumple mis espectativas, seguramente volvere a comprar otra. El pedido llegó en el tiempo estimado, y bien embalado.	1
Genial!. Muy bueno en relación calidad precio	1
Nada espectacular. Cumple, es lo que es, encaja perfecto pero pinta mejor en la foto.	1
comodos. Pedales amplios con gran apollo y agarre van perfectos. buena compra y muy contento con ellos. si no quieres automaticos estos perfectos.	1
Producto valido para niños. Las compre para usar en dos niños de 4-6 años y se adapta perfectamente al los diferentes tamaños de muñeca. Vale para un adulto también. Aguanta un par de días de uso normal. Si los usaba para la piscina duraba un dia. Como vienen 100 tienes para una buena temporada	1
Nefasto servicio de entrega. No puedo opinar del producto, pues no ha llegado. Cada vez que lo trae correos express, no llega, aún pagando el servicio prime. No cumplen con lo contratado. Lo mejor será darse de baja si la empresa que trae los paquetes es Correos.	0
Comodidad. Es bastante más aconsejable un modelo sin almohada ( bastante incómoda a mí parecer). La verdad es resistente pero tras un mes de uso intensivo, cuando pasa media hora ha perdido todo el aire. Estoy buscando algún pinchazo pero no. Creo que la válvula, cuando debe contener el peso de una persona, debe tener poca capacidad y va perdiendo. Aguanta muy bien en exteriores y es bastante confortable. Muy cómodo de recoger y llevar. Ocupa realmente poco y pesa menos aún. Creo que por el precio que pagas debiera de estar fabricada más resistente.	0
Decepcionante.. El pulsómetro unas veces funciona y otras no. Los datos se borran cuando se desconecta de la corriente. Y sobre todo, al pedalear hace un ruido intermitente muy desagradable. Si lo hubiera sabido no la compro.	0
No llegó. Después de mandarme un mensaje con el día de entrega nunca llegó a destino. Menos mal que Amazon gestionó el reembolso.	0
Robusto pero aparatoso montaje.. Demasiado tornillo. Pero entiendo que es la consecuencia de la versatilidad para todo tipo de bicis. Las arandelas no son autoblocantes y con la vibración las tuercas se aflojan y caen por el camino. Tengo que decir que es muy robusto y la estructura en sí no me ha fallado.	0
Muy buena calidad y cómoda de usar. Es de muy buena calidad y da mucha confianza. No la recomiendo para uso en competiciones, es un poco mas grande de lo que yo necesitaba El agarre es cómodo, y no es incomoda durante el nado.	1
No la compraría otra vez.. La navaja por ese precio bien. El seguro mejorable. Los afiladores muy mejorables por decirlo suavemente. La brújula encajada torcida y no funciona.	0
Es muy fácil de instalar y muy rápido de cargar. Muy buena relación calidad-precio y funciona perfectamente y es muy muy rápido viene con un cable para enchufar directamente a tu cargador es simplemente con poner el móvil encima ya está cargando no me carga el móvil en menos de una hora es el cargador inalámbrico más rápido que nunca he tenido. La comunicación con el vendedor ha sido estupendas lo recomiendo al 100%. Relación calidad-precio estupenda realmente si merece la pena.	1
El tamano XL le queda chico a un chihuahua cachorro. Habia leido varios comentarios de que la prenda era muy pequena, asi que pedi tamano XL para un perrito pequeno. Luego de esperar mas de un mes (la entrega no es por cierto muy rapida que digamos), cuando finalmente llego, no pude ponerle el abrigo al perro porque no hay manera que le entre. Es increiblemente pequeno.	0
medias compresión. producto buena calidad pero luego de 2 lavados pierde elasticidad y se encoge la tela lo que hace díficil calzarlas...	0
Malisima. No vale para nada,huele fatal a pesar de lavarla varias veces y no se adapta.no recoendable ESTAFA	0
La calidad de paga. Cómo la camelbak ninguna, había probado otras marcas y el agua coge sabor a plástico, pero con esta no, la pega es que la mochila es demasiado pequeña. Aviso solo cabe 1,3 L	0
Bien para su precio. Lo recibi antes de lo esperado, graban bien pero se ven baratas las gafas y una estetica un poco barata, por el resto muy bien.	0
Excelente. Funciona perfectamente y es muy cómodo y fácil de utilizar.	1
La felicidad del niño.. Al niño le han entusiasmado y está feliz jugando con ellas. Es lo esperaba y no puedo pedir más. En cuanto a entrega, empaquetado, etc. Todo perfecto, como siempre.	1
Arturo Quintero Navarro.. Muy bonita y se ve practica. Espero cuando la pruebe sea cómoda y medianamente capaz. La recomiendo muy bonita y práctica	1
Buen resultado. Buen resultado en el carrete	0
Buena calidad precio. Calidad precio buena. Cumple su función se puede doblar y colocar en cualquier sitio. Lo malo si pesas mucho no es recomendable.	1
Bien precio. No se ha usado el producto, se ha devuelto porque se pidió la correa larga y después de devolverla se ha comprado la correa pequeña	1
Calidad de Under. Lo uso para crossfit y va genial, se nota la calidad de Under	1
Producto aceptable pero color engañoso. La pulsera parece de buena calidad tras haberla probado durante 3 días tan solo, pero el color (en este caso marrón) no es para nada el que aparece en la foto de venta. El color real es bastante más claro que el que te quieren vender, tal y como muestro en las imágenes.	0
Tal como se describe. Tal como se especifica en la descripción. La luz, muy potente, es un led, que para ser de una lámpara pequeña, alumbra muchísimo. Satisfecha.	1
Cubre bien. Es larga. El diseño juvenil. Un poco fina	0
.. Producto bien acabado y muy útil. Barato comparado con otros pero aun así son caros...	1
Brujula muy mala. Brújula muy poco fiable...	0
Parece que no hace pegotes. Deja la cadena bastante limpia despues de la ruta. Parece que no hace pegotes. Es bastante líquida y a la hora de lubricar la cadena hay que ir con cuidado que siempre cae alguna gota en el suelo. Una vez puesta en toda la cadena hay que esperar a que se seque, menos de 10 minutos, y listo para rodar.	1
Producto incompleto. Me ha llegado el reloj son correa i son la Caja original	0
El tamaño, pero todo correcto, en las imagenes precia mas grande. Es mas pequeño de lo que pensaba!	0
No trae correa de cintura. No traia la correa de cintura por lo tanto no es lo que queria es grande en si pero no es lo que necesito	0
Felipe Barrio Herrero. No se ajusta en nada a lo pedido,los anclajes con los tornillos van mal y queda separada la correa del reloj.Mal producto	0
Cómodo. Buen producto como de talla	0
Encantafa. Me encanta y si le ve muy resistente	1
PEQUEÑAS. La rodilleras como tales son de buena calidad, pero las tallas vienen muy ajustadas. Compré dos pares, uno en talla S y otras en M, la persona que queria las pequeñas se ha quedado con las medianas y tendré que devolver las S, o descambiarlas por la talla grande, espero no tener problemas	0
El precio y acabado. Buen tacto y acabado. Se desgasta muy rápido la goma	1
muy pequeño. si tienes una vista de águila a lo mejor llegas a ver los numeros del manometro,necesitaras para verlo un microscopio electronico	0
Práctico. Chubasquero práctico para excursiones y para parques de atracciones	1
Mal vendedor. Tenía entrega prevista para el 9 de octubre y todavía no me ha llegado. Me pongo en contacto con el vendedor y no me ha contestado.	0
Demasiado frágil. Ha soplado el viento un par de días y ya se rajó por 2 sitios. Parece que haya que comprar una lona para proteger esta.	0
Poca información. Este dispositivo no funciona con los moviles bq y me ha sido inposible vincularlo. deberían advertir esto para no fastidiar la compra.	0
Todo OK, cumple con las expectativas más que sobra, es fiel a la descripción. Todo correcto, cumple con las expectativas más que sobra, es fiel a la descripción. Muchas gracias por todo, un saludo.	1
Fácil montaje. Bastante blando lo que mejora la comodidad del patín y la facilidad de montaje.	1
Bolsa manillar. La bolsa esta bien pero uno de los agarre no funciona bien de agarre	0
Increíblemente pequeña. Cumple para una emergencia, para dar algo de presión y salir del paso.	1
Todo perfecto. De buena calidad, el envío más rápido imposible.	1
Ayuda, pero no elimina por completo el olor. Lo he usado en una botas de snow y algo se ha notado su efecto, aunque no ha eliminado su olor por completo. Según dicen las instrucciones como mejor funciona es usándolo desde el principio en material deportivo. Ya lo he empezado a usar en la zapatillas de correr y se nota el efecto	1
Pesada. Muy pesada para mi arma.	0
Mal agarre. Ligeras pero se caen con facilidad	0
RAPIDEZ Y BUENA GESTION. EFICACIA Y BUENA COMPRA	1
Producto bueno.. Buen producto pero lamentablemente no es lo que necesitada exactamente. Buen precio y buen servicio.	1
Una buena inversión!. Un GPS de verdad, robusto y compacto, ideal para montaña, sabiendo utilizarlo no te pierdes nunca. Estar atento cuando entra en modo stand by, ya que sigue grabando y te puedes quedar sin batería	1
Contento con la compra. Contento con la compra, a mi hija le gusto mucho. Sin embargo he podido observa que a los pocos días muestra algún desperfecto en la abertura para pasar el cable de los auriculares.	1
Compacta y potente. Muy compacta y potente. Se coloca y orienta muy fácilmente, la luz es muy potente por más que digan que tenga esa luz amarilla en el medio, personalmente no me molesta. Es una ventaja que sea táctil el control de luminosidad pero un problema porque al ser tan sensible a veces la apagas accidentalmente. No obstante le pongo 4 estrellas, porque me vino una que no funcionaba pero ésta última la llevo usando unos tres meses y sin problemas.	1
La idea es buena pero no funciona bien. la pulsera la principio brilla perfectamente, pero después de un tiempo la correa se pone amarilla y no funciona. Mi hija se siente un poco engañada con el producto.	0
Empaque. Son perfectas y actuan en la parte de musculo en donde se utiliza. La pega que le pongo es el pakaging, ya que lo anuncian que vendra en una caja y me ha llegado en una bolsa de plastico con los logotipos del proveedor; por lo que deberian de vender el producto como realmente lo envian.	0
Llego a tiempo. Ha llegado a tiempo, se ve de buena calidad, se ajusta y se siente cómodo, pero lo sumergí en el agua y por las costuras se mete, por donde no hay costura rebota el agua y no entra.	0
Mjo. Es muy cómodo, aunque ocupa demasiado para ser para 1 sola persona (si eres de complexión grande lo agradecerás, pero como no tengas suficiente espacio... Le doy 3 estrellas porque para mí fue decepcionante llegar un dia y ver que se había pinchado de la nada y ya lo tuve que tirar porque no servía para nada... no me ha parecido muy resistente que digamos	0
Llegó tarde. El cinturón cumple su cometido .le doy tres estrellas por qué tenía que llegar viernes y llegó el jueves siguiente ese finde tenía carrera y tuve k improvisar	0
Articulo no recibido. Articulo no recibido	0
es bonita y práctica. Lo compré para medir mis horas de sueño y no estoy muy contento con los sensores porque cada vez que me levanto a licuar toxinas al baño, deja de contar las demás horas que duermo No se si hay alguna manera de desconectar al levantarse y volver a conectar despues de volverse a acostar	1
El tapón es fuerte para niños. La cantimplora es perfecta y no pierde nada la pongas como la pongas. Le pongo un cuatro porque el cierre va demasiado fuerte hasta para un adulto	1
Extremadamente pequeño. Me ha decepcionado. Para el precio que tiene es muy, muy pequeño. No me sirve de mucho la verdad.	0
Pequeño. El gancho es pequeño y no ocupa mucho espacio, en contra tiene la rigidez, no caben más que las bolsas de la compra (lo compré para llevarme el bolso pero no puedo colgarlo).	0
hacen su función. hacen su función, aunque son más pequeños de lo que me esperaba. aunque al final no pude usarlos para lo que queria. les he buscado otros usos	0
Poco recomendable. La riñonera vino en la fecha establecida con una cremallera mal cosida a la tela por lo que estaba nacida. Los colores no son los de la foto. No es permeable como dicen.	0
Correa demasiado grande, no me vale como riñonera. Buen producto, calidad buena pero para usar como riñonera la tira me queda grande....	0
Regular. Por lo general regular. Me esperaba otra cosa. Los adhesivos no pegan bien ni en el primer uso. Son pequeños, como en la imagen. Molesta mucho la corriente, casi no puedo usarlo, no sé si hay que acostumbrarse porque es la primera vez que uso uno de éstos pero es una corriente muy intensa, más bien noto calambres a nivel de la piel y el músculo no se estimula.	0
Grande i útil. Es simple pero muy útil, la utilizo para ir al gimnasio i llevar todas las cosa sin preocuparme para meterlas. Recomendable	1
Para rehabilitación. Para una persona mayor es genial. Tras una operación y un largo tiempo parado ... La mejor forma de volver a hacer ejercicio	1
nevera normal. la nevera en si está bastante bien,es de grande lo justo,no tiene cierre de seguridad pero tampoco se abre facil...ver veremos como va aguantando	1
Mantiene el frío durante bastante tiempo.. Buena relación calidad precio. Mantiene el frío, no he probado lo caliente. Longevidad no puedo dar opinión porque tengo poco de tenerlo.	1
No era la que esperaba. No es la que yo esperaba. Viene sin el grabado del joker. Me puse en contacto con el vendedor y como el que oye llover. NO creo que vuelva a comprar nada de este vendedor. Mal servício post venta	0
Durabilidad mala. Correa para suunto core. Correas muy cómodas pero no duran más de un año. Ya es La segundas que compro y no pasan del año algo vergonzoso para una marca de relojes de montaña de este calibre	0
No me ha llegado. Me aparece como que el producto lo recibí ayer y a mi no me ha llegado, y no encuentro la opción de reclamar mi producto. Alguien me puede ayudar??	0
Poca calidad. Materiales un poco flojos vale para uso diario para no reventar el bueno..	0
La película antivaho falla. Terceras gafas Zoggs que tengo. Las gafas están genial pero es increíble que el sistema antivaho no me ha durado ni un solo día.Gafas nuevas y ya le he tenido que dar al segundo uso con productos para poder ver algo al nadar. Muy incómodo e impropio de esta marca	0
Bien pero..... He tenido otras gorras de otra marca y esta es la que mejor se adapta a mis necesidades para ir a correr. También tengo que decir que tengo el mismo modelo pero de una versión anterior en otro color. Y tengo que decir que van empeorando en vez de mejorando. En la versión anterior el logotipo y el nombre de la marca detrás venía bordado. En esta versión viene con un termosellado que seguro será menos duradero.	1
Color. No es el color que indica en la imagen	0
Espectacular. Muy cómoda se ajusta perfectamente y sudas sin apenas hacer nada, me encanta	1
Fatal.. Fatal. Nunca llegó. Nadie sabe nada. Un desastre	0
Es como lo esperaba. Es de neopreno, la utilizo en salidas de parque,playa,viajes... Tiene buena capacidad	1
Mala calidad del producto. Llego en malas condiciones y la calidad del producto es bastante cuestionable. Muy mala relación costo beneficio	0
No seguro.. En ocasiones se queda la boya pegada y tienes que golpearla si no quieres morir ahogado, no lo recomiendo para niños que hagan apnea. Al llegar arriba es cuando no se despega la boya. (Sólo en ocasiones, pero pasa.)	0
Cumple funciones. Esta muy bien el producto cumple con las funciones indicadas algo pequeño los compartimientos pero me valen se esta cómodo con ello	0
Longitud y ancho de cable adecuados. Sus dimensiones combinadas con su grosor, para ofrecer mayor seguridad. Tal vez un poco pesada para transportar, pero a cambio ofrece mayor robustez.	1
Calidad precio,están bien.. Me ha gustado,todo como esperaba.	1
Buenos. Dicen que a la tercera va la vencida, uso calzado magnum desde hace años y siempre es el mismo numero, bueno pues con estos los he tenido que devolver dos veces porque la talla no coincide, si pides tu numero no te van a valer por pequeños, pedir uno mas. Por el resto nada que objetar buen calzado como todo lo que hace Magnum.	1
Lo barato sale caro. Mala calidad,a la segunda salida rotura de costuras	0
Cómodas y con buena visión. Muy cómodas, no se mueven al hacer deporte (correr, MTB, esquí). El anagrama de UVEX de las patillas se borra. Tras unos meses de uso, una de las gomas del soporte de la nariz de despegó.	0
Bien. Justo para tomar contacto con un smartwatch, no le exijas mucho	1
Muy mal. No me ha gustado nada. Mucho calor dentro, resiste mal el viento, aunque no sea fuerte, los enganches se sueltan de las piquetas con facilidad. No la recomiendo.	0
Cinturón. Todo me ha gustado , lo utilizo para el gimnasio	1
Dura igual que un embarazo. La compré en noviembre del 17 y hoy 30 de septiembre se ha partido al igual que la original que traía el reloj y eso que parecía de mejor calidad. No voy a comprar una correa que dura poco más o menos que un embarazo	0
Afila, pero muy agresiva.. La piedra permite repasar tú navaja o cuchillo cuando no tienes una piedra de buen tamaño a mano. El único inconveniente es que hay que usarla con mesura ya que la parte de diamante se come literalmente las hojas si el acero no es muy duro.	0
Gran iluminación. Se me estropeo la Bigo y quería probar otra luz, esta es más potente, toda de aluminio, lo único malo que tiene es que no avisa de cuando se cargo al máximo, tienes que desconectar y encenderla para que te avisen los indicadores, igualmente me parece una super compra, con dos puestas debe ser increíble.	1
Me han enviado otro color. Lo he pedido de color marrón con el interior en color claro y me lo han enviado en color verde por dentro y ir fuera. Estoy esperando otros dos que me faltan y si don del mismo color los devuelvo.	0
freno no retiene NADA !!. Las anillas muy bien , pq son de madera pero lo más importante que son las cuerdas y el freno ... El freno NO aguanta nada :( una DECEPCIÓN TOTAL	0
