text	tag
‘Low credit risk’ exemption	1
More-than-30-days-past-due rebuttable presumption	1
4.4 Supervisory evaluation of credit risk practices, accounting for expected credit losses and capital adequacy	1
4.4.1          Principle 1 — Credit risk management assessment	1
     4.4.2        Principle 2 — ECL measurement assessment	1
     4.4.3        Principle 3 — Capital adequacy assessment	1
5. Accompanying documents	1
A. Problem identification	1
D. Options considered	1
D1. Necessity of EBA regulatory intervention	1
D2. Proportionality approach	1
D3. Addressees of guidelines	1
E. Cost-benefit analysis	1
D1. Necessity of EBA regulatory intervention	1
Credit institutions applying IFRS Standards or national GAAP	1
Credit institutions applying IFRS Standards	1
D3. Addressees of guidelines	1
E. Conclusion	1
Summary of key issues and the EBA’s response	1
Scope of application	1
Proportionality	1
Materiality	1
Use of practical expedients	1
Consistency with the BCBS guidance and with IFRS	1
Summary of responses to the consultation and the EBA’s analysis	1
Responses to questions in Consultation Paper EBA/CP/2016/10	1
                                    Proportionality and practical expedients	1
Contents	1
3. Background and rationale	1
3.1. Background	1
3.2. Rationale	1
Channels for submission of complaints	1
Information requested from complainants	1
Payment service providers in the scope of ‘other interested parties’	1
Submission of complaints to the responsible competent authorities	1
Aggregate analysis of complaints	1
4. Guidelines	1
1. Compliance and reporting obligations	1
Status of these Guidelines	1
Reporting requirements	1
2. Subject matter, scope and definitions	1
Subject matter and scope of application	1
Addressees	1
Definitions	1
3. Implementation	1
Date of application	1
Guideline 3: Reply to complainants	1
Guideline 5: Documentation of complaints procedures	1
Guideline 6: Public information on complaints procedures	1
5. Accompanying documents	1
B. Policy objectives	1
C. Options considered and preferred option	1
D. Cost-benefit analysis	1
Section 1 - Compliance and reporting obligations	1
Status of these guidelines	1
Reporting requirements	1
4. Notifications will be published on the EBA website, in line with Article 16(3).	1
Section 2 - Subject matter, scope and definitions	1
Subject matter	1
Scope of application	1
Addressees	1
Definitions	1
Section 3 - Implementation	1
Date of application	1
Repeal	1
Section 4 – Management of IRRBB	1
1. High-level Guidelines Proportionality	1
IRRBB 1 – Internal capital	1
IRRBB 2 – Measurement of IRRBB	1
IRRBB 3 – Interest Rate Shock Scenarios	1
IRRBB 4.1 – Internal governance arrangements	1
IRRBB 4.2 – IRRBB Policies	1
IRRBB 5 – Supervisory standard shock	1
2. Detailed guidelines	1
2.1.     SCENARIOS AND STRESS TESTING	1
Additional guidance on IRRBB 3 and on IRRBB 4.1/4.2	1
2.2.     MEASUREMENT ASSUMPTIONS	1
Additional guidance on IRRBB 2	1
a) Behavioural assumptions for accounts with embedded customer optionality	1
b) Behavioural assumptions for customer accounts without specific repricing dates	1
c) Corporate planning assumptions for own equity capital	1
2.3.     METHODS FOR MEASURING INTEREST RATE RISK	1
Additional guidance on IRRBB 2 and IRRBB 3	1
IRRBB measurement methods	1
2.4.     THE GOVERNANCE OF INTEREST RATE RISK	1
Additional guidance on IRRBB 4.1 and IRRBB 4.2	1
a) Overall IRRBB strategy	1
b) Risk policies, processes and controls	1
c) IRRBB IT systems and data quality	1
d) Internal Reporting	1
2.5.     CAPITAL IDENTIFICATION, CALCULATION AND ALLOCATION	1
Additional guidance on IRRBB 1	1
Annex A - IRRBB Measurement Methods	1
Contents	1
5. Confirmation of compliance with guidelines and recommendations                                    36	1
Scope and content of the Guidelines on Significant Risk Transfer	1
Title I – Scope of application and general principles	1
1.     Scope of application	1
2.     General Principles	1
5.     Assessment of structural features	1
7.     Credit protection issues for synthetic securitisations	1
8.      SRT to third parties	1
9.     Credit ratings	1
10.    Internal policies for assessing transfer of credit risk and SRT	1
11.    Requirements relating to SRT	1
12.    Governance and policies around SRT assessments	1
13.    Risk-management and self-assessment	1
14.    Other requirements	1
Contents	1
Title I – Subject matter, scope and definitions Subject matter	1
Scope and level of application	1
Title II – Framework of recovery plan indicators	1
Title III – Capital indicators	1
Title IV – Liquidity indicators	1
Title VI – Asset quality indicators	1
Title VII – Market-based indicators	1
Title VIII – Macroeconomic indicators	1
Title IX – Final provisions and implementation	1
Annex I – Categories of recovery plan indicators	1
Annex II – Minimum list of recovery plan indicators	1
4. Accompanying documents	1
4.1 Impact Assessment	1
Introduction	1
Objectives of the Guidelines	1
Technical options	1
Assessment of the technical options	1
A. Categories of recovery plan indicators	1
B. Minimum list of recovery plan indicators	1
C. Nature of the recovery plan indicators	1
D. Thresholds for the quantitative recovery plan indicators	1
4.2 Views of the Banking Stakeholder Group (BSG)	1
4.3 Feedback on the public consultation	1
Summary of key issues and the EBA’s response	1
Categories of indicators	1
Specific recovery plans indicators	1
Rebuttable presumption	1
Summary of responses to the consultation and the EBA’s analysis	1
General comments	1
2. Background and rationale	1
3. Guidelines	1
Guidelines	1
1. Compliance and reporting obligations	1
Status of these guidelines	1
Reporting requirements	1
2. Subject matter, scope and definitions	1
Subject matter	1
Scope of application	1
Addressees	1
Definitions	1
3. Implementation	1
Date of application	1
    A. Problem identification and baseline scenario	1
    B. Policy objectives	1
    C. Options considered	1
Cost–benefit analysis	1
Summary of key issues and the EBA’s response	1
EBA approach	1
EBA approach	1
Summary of responses to the consultation and the EBA’s analysis	1
General comments	1
Responses to questions in Consultation Paper EBA/CP/2015/18	1
Contents	1
Data	1
Data definitions	1
Unit	1
Out-turn data	1
Time horizon	1
Frequency	1
Reporting format	1
Title I – Subject matter, scope and definitions	1
Title II – Requirements for reporting of funding plans	1
Title III- Final Provisions and Implementation	1
Contents	1
2. Background and rationale	1
2.1 Introduction	1
Context of downturn LGD estimation	1
1. Compliance and reporting obligations	1
Status of these guidelines	1
Reporting requirements	1
2. Subject matter, scope and definitions	1
Subject matter	1
Scope of application	1
Addressees	1
Definitions	1
3. Implementation	1
Date of application	1
First application of these Guidelines	1
4. General requirements on downturn LGD estimation	1
1.1.   For the purposes of reporting statistical data on fraud in accordance with these Guidelines,        the payment service provider should report for each reporting period:	0
1.2.   For the purposes of Guideline 1.1, the payment service provider (including the payment        instrument issuer where applicable) should report only payment transactions that have been        initiated and executed (including acquired where applicable). The payment service provider        should not report data on payment transactions that, however linked to any of the        circumstances referred to in Guideline 1.1, have not been executed and have not resulted in        a transfer of funds in accordance with PSD2 provisions.	0
1.3.   In the case of money remittance services where funds were transferred from a payer’s        payment service provider to a payer’s money remitter payment service provider (as part of        a money remittance payment transaction), it is the payer’s payment service provider, rather        than the money remitter payment service provider, who should report the payment        transactions from the payer’s payment service provider to the money remitter. Such        transactions should not be reported by the payment service provider of the beneficiary of        the money remittance payment transaction.	0
1.4.   Transactions and fraudulent transactions where funds have been transferred by a money        remitter payment service provider from its accounts to a beneficiary account, including        through arrangements offsetting the value of multiple transactions (netting arrangements),        should be reported by the money remitter payment service provider in accordance with Data        Breakdown G in Annex 2.	0
1.5.   Transactions and fraudulent transactions where e-money has been transferred by an emoney provider to a beneficiary account, including where the payer's payment service        provider is identical to the payee's payment service provider, should be reported by the emoney provider in accordance with Data Breakdown F in Annex 2. Where the payment        service providers are different, payment is only reported by the payer’s payment service        provider to avoid double counting.	0
1.6.   Payment service providers should report all payment transactions and fraudulent payment        transactions in accordance with the following:	0
2.1.   The payment service provider should report statistical information on:	0
2.2.   The payment service provider should report the statistical information specified in Guideline	0
2.1 in terms of both volume (i.e. number of transactions or fraudulent transactions) and value        (i.e. amount of transactions or fraudulent transactions). They should report volumes and        values in actual units, with two decimals for values.	0
2.3.   A payment service provider authorised, or a branch established, in a Member State of the        euro area should report the values in euro currency, whereas a payment service provider        authorised, or a branch established, in a Member State not participating in the euro area        should report in the currency of that Member State. The reporting payment service providers        should convert data for values of transactions or fraudulent transactions denominated in a        currency other than the euro currency or the relevant Member State’s official currency into        the currency they should report in, using the relevant exchange rates applied to these        transactions or the average ECB reference exchange rate for the applicable reporting period.	0
2.4.   The payment service provider should report only payment transactions that have been        executed, including those transactions that have been initiated by a payment initiation        service provider. Prevented fraudulent transactions that are blocked before they are        executed due to suspicion of fraud should not be included.	0
2.5.   The payment service provider should report the statistical information with a breakdown in        accordance with the breakdowns specified in Guideline 7 and compiled in Annex 2.	0
2.6.   The payment service provider should identify the applicable data breakdown(s), depending        on the payment service(s) and payment instrument(s) provided, and submit the applicable        data to the competent authority.	0
2.7.   The payment service provider should ensure that all data reported to the competent        authority can be cross-referenced in accordance with Annex 2.	0
2.8.   The payment service provider should allocate each transaction to only one sub-category for        each row of each data breakdown.	0
2.9.   In the case of a series of payment transactions being executed, or fraudulent payment        transactions being executed, the payment service provider should consider each payment        transaction or fraudulent payment transaction in the series to count as one.	0
2.10. The payment service provider can report zero (‘0’) where there were no transactions or       fraudulent transactions taking place for a particular indicator in the reporting period       established. Where the payment service provider cannot report data for a specific       breakdown because that particular data breakdown is not applicable to that PSP, the data       should be reported as ‘NA’.	0
2.11. For the purpose of avoiding double-counting, the payer’s payment service provider should       submit data in its issuing (or initiating) capacity. As an exception, data for card payments       should be reported both by the payer’s payment service provider and by the payee’s                                                                                                   18 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	0
2.12. In order to avoid double counting when calculating the total transactions and fraudulent       transactions across all payment instruments, the payment service provider that executes       credit transfers initiated by a payment initiation service provider should indicate the       breakdown for the volume and value of the total transactions and fraudulent payment       transactions that have been initiated via a payment initiation service provider when       reporting under Data Breakdown A.	0
3.1.   The payment service provider should report data every six months based on the applicable        data breakdown(s) in Annex 2.	0
3.2.   The payment service provider that benefit from an exemption under Article 32 PSD2 and emoney institutions that benefit from the exemption under Article 9 Directive 2009/110/EC        on the taking up, pursuit and prudential supervision of the business of electronic money        institutions should only report the set of data requested under the applicable form(s) in        Annex 2 on an annual basis with data broken down in two periods of six months.	0
3.3.   The payment service provider should submit their data within the timelines set by the        respective competent authorities.	0
4.1 The payment service provider should report data for transactions that are domestic, cross     border within the European Economic Area (EEA), and cross-border outside the EEA.	0
4.2 For non-card based payment transactions, and remote card based payment transactions,     ‘domestic payment transactions’ refer to payment transactions initiated by a payer, or by or     through a payee, where the payer’s payment service provider and the payee’s payment service     provider are located in the same Member State.	0
4.3 For non-remote card-based payment transactions, ‘domestic payment transactions’ refer to     payment transactions where the payer’s payment service provider (issuer), the payee’s     payment service provider (acquirer) and the point of sale (POS) or automated teller machine     (ATM) used are located in the same Member State.	0
4.4 For EEA branches, domestic payment transactions refer to the payment transactions where     both the payer’s and the payee’s payment service providers are in the host Member State     where the branch is established.                                                                                                 19 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	0
4.5 For non-card based payment transactions and remote card based payment transactions, ‘crossborder payment transaction within the EEA’ refers to a payment transaction initiated by a     payer, or by or through a payee, where the payer’s payment service provider and the payee’s     payment service provider are located in different Member States.	0
4.6 For non-remote card-based payment transactions, ‘cross-border payment transactions within     the EEA’ refer to payment transactions where the payer’s payment service provider (issuer) and     the payee’s payment service provider (acquirer) are in different member states or the payer’s     payment service provider (issuer) is located in a Member State different from that of the POS     or ATM.	0
4.7 ‘Cross-border payment transactions outside the EEA’ refer to payment transactions initiated by     a payer, or by or through a payee, where either the payer’s or the payee’s payment service     provider is located outside the EEA while the other is located within the EEA.	0
4.8 A payment service provider offering payment initiation services should report the executed     payment transactions it initiated and the executed fraudulent transactions it initiated in     accordance with the following:	0
5.1.   The payment service provider shall report to the competent authority of the home Member        State.	0
5.2.   The payment service provider should record data from all its agents, providing payment        services in the EEA and aggregate these data with the rest of the data before reporting to the        home competent authority. When doing so, the location of the agent is irrelevant for        determining the geographical perspective.	0
5.3.   Within the framework of the monitoring and reporting set out in Article 29(2) PSD2 and in        Article 40 of Directive 2013/36/EU of the European Parliament and of the Council on access        to the activity of credit institutions and the prudential supervision of credit institutions and        investment firms, an established branch of an EEA’s payment service provider should report        to the competent authority of the host Member State where it is established, separately from        the reporting data of the payment service provider in the home Member State.                                                                                                     20 FINAL REPORT ON FRAUD REPORTING GUIDELINES UNDER PSD2	0
5.4.   When reporting data to the corresponding competent authority, a payment service provider        should mention the identification details mentioned in Annex 1.	0
6.1    The date to be considered by payment service providers for recording payment transactions        and fraudulent payment transactions for the purpose of this statistical reporting is the day        the transaction has been executed in accordance with PSD2. In the case of a series of        transactions, the date recorded should be the date when each individual payment        transaction was executed.	0
6.2    The payment service provider should report all fraudulent payment transactions from the        time fraud has been detected, such as through a customer complaint or other means,        regardless of whether or not the case related to the fraudulent payment transaction has been        closed by the time the data are reported.	0
6.3    The payment service provider should report all adjustments to the data referring to any past        reporting period at least up to one year old during the next reporting window after the        information necessitating the adjustments is discovered. It should indicate that the data        reported are revised figures applicable to the past period and should report this revision        according to the methodology established by the relevant competent authority.	0
7.1    For e-money payment transactions as defined in Directive 2009/110/EC, the payment service        provider should provide data in accordance with Data Breakdown F in Annex 2.	0
7.2    When providing data on e-money transactions, the payment service provider should include        e-money payment transactions	0
7.3    The payment service provider for the purpose of e-money payment transactions should        report data on volumes and values of all payment transactions, as well as volumes and values        of fraudulent payment transactions, with the following breakdowns:	0
7.4   For money remittance services, the payment service provider should provide data in       accordance with Data Breakdown G in Annex 2 and as specified in Guideline 1.3. The payment       service provider offering these services should report data on volumes and values of all       payment transactions and fraudulent payment transactions in Guideline 2.1 with the       geographical perspective.	0
7.5   When providing provides payment initiation services, the payment service provider should       provide data in accordance with Data Breakdown H in Annex 2. The payment service provider       should report the executed payment transactions it initiated and the executed fraudulent       transactions it initiated, both by volume and value.	0
7.6   For those payment transactions that qualify for Data Breakdown H in Annex 2, the payment       service provider offering payment initiation services should record and report data on       volumes and values with the following breakdowns:	0
7.7   A payment service provider that does not manage the account of the payment service user       but issues and executes card-based payments (a card-based payment instrument issuer)       should provide data on volumes and values, in accordance with Data Breakdown C and/or E       in Annex 2. When such data are provided, the account service payment service provider       should ensure that no double-reporting of such transactions occur.	0
7.8   The payment service provider offering credit transfer and card based payment services       should provide data in accordance with Data Breakdowns A, C and/or D in Annex 2,       depending on the payment instrument used for a given payment transaction and on the role       of the payment service provider. The data include:	0
7.9   The payment service provider should provide data in accordance with Data Breakdown A in       Annex 2 for all payment transactions and fraudulent payment transactions executed using       credit transfers.	0
7.10 The payment service provider should provide data in accordance with Data Breakdown B in      Annex 2 for all payment transactions and fraudulent payment transactions executed using      direct debits. The data include:	0
7.11 The payment service provider should provide data in accordance with Data Breakdown C in      Annex 2 for all payment transactions and fraudulent payment transactions on the issuer side      where a payment card was used and the payment service provider was the payer’s payment      service provider.	0
7.12 The payment service provider should provide data in accordance with Data Breakdown D in      Annex 2 for all payment transactions and fraudulent payment transactions on the acquiring      side where a payment card was used and the payment service provider is the payee’s      payment service provider.	0
7.13 The payment service provider providing data in accordance with Data Breakdowns A to F in      Annex 2 should report all losses due to fraud per liability bearer during the reporting period.	0
7.14 The payment service provider reporting card payment transactions in accordance with Data      Breakdowns C and D in Annex 2 should exclude cash withdrawals and cash deposits.	0
7.15 The payment service provider (issuer) should provide data in accordance with Data      Breakdown E in Annex 2 for all cash withdrawals and fraudulent cash withdrawals through      apps, at ATMs, at bank counters and through retailers (‘cash back’) using a card.	0
1.1.   For the purposes of reporting statistical data on fraud to the EBA and the ECB in accordance        with these Guidelines and with Article 96(6) PSD2, the competent authority should report for        each reporting period:	0
1.2.   For the purposes of Guideline 1.1, the competent authority should report only payment        transactions that have been initiated and executed (including acquired where applicable) by        payment service providers (including card based payment instrument issuers where        applicable). The competent authority should not report data on payment transactions that,        however linked to any of the circumstances referred to in Guideline 1.1, have not been        executed and have not resulted in a transfer of funds in accordance with PSD2 provisions.	0
1.3.   The competent authority should report all payment transactions and fraudulent payment        transactions in accordance with the following:	0
1.4.   Competent authorities should report data from payment service providers offering payment        initiation services in accordance with the following:	0
2.1.   The competent authority should report statistical information on:	0
2.2.   The competent authority should report the statistical information in Guideline 2.1 both in        volume (i.e. number of transactions or fraudulent transactions) and value (i.e. amount of        transactions or fraudulent transactions). It should report volumes and values in actual units,        with two decimals for values.	0
2.3.   The competent authority should report the values in euro currency. It should convert data        for values of transactions or fraudulent transactions denominated in a currency other than        the euro, using the relevant exchange rates applied to these transactions or the average ECB        reference exchange rate for the applicable reporting period.	0
2.4.   The competent authority can report zero (‘0’) where there were no transactions or        fraudulent transactions taking place for a particular indicator in the reporting period        established.	0
2.5.   The competent authority should aggregate the data collected within its Member State from        the addressees of this Guidelines by summing the figures reported for each individual        payment service provider in line with the data breakdowns in Annex 2.	0
2.6.   The competent authority should define the secure communication procedures and the        format for the reporting of the data by payment service providers. The competent authority        should also ensure that an appropriate deadline is given to payment service providers to        ensure the quality of the data and to account for the potential delay in reporting fraudulent        payment transactions.	0
2.7.   The competent authority should ensure that the data reported under these Guidelines can        be cross-referenced and used by the EBA and the ECB in accordance with the data        breakdowns in Annex 2.	0
3.1.   The competent authority should report the volumes and values of payment transactions and        fraudulent payment transactions in line with Guidelines 2.1 and 2.2. To avoid double        counting, data should not be aggregated across the different data breakdowns in Annex 2.	0
3.2.   The competent authority should report adjustments to data on any payment transaction and        fraudulent payment transaction reported in any past reporting period during the next        reporting window after the information necessitating the adjustments is obtained from given        payment service provider(s) and up to 13 months after the transaction was executed (and/or        acquired) to enable the payment service user to exercise its right to notify the payment        service provider no later than 13 months after the transaction was executed in accordance        with Article 71 PSD2.	0
3.3.   The competent authority should at all times ensure the confidentiality and integrity of the        information stored and exchanged and the proper identification when submitting data to the        ECB and the EBA.	0
3.4.   The competent authority should send the aggregated data to the ECB and the EBA within six        months from the day after the end of the reporting period.	0
3.5.   The competent authority should agree with the ECB and the EBA the secure communication        procedures and the specific format in which the competent authority should report the data.	0
4.1.   Where there is more than one competent authority in a Member State under PSD2, the        competent authorities should co-ordinate the data collection to ensure that only one set of        data is reported for that Member State to the ECB and the EBA.	0
4.2.   Upon request by the competent authority in a home Member State, the competent authority        in a host Member State should make available information and data that established        branches have reported to them.	0
22.This section sets out the key elements for developing and implementing an NPE strategy.          Credit institutions should have in place an adequate framework to identify, measure,          manage, monitor and mitigate NPEs, including through workout activities.	0
      23.In the development and implementation of their NPE strategies, credit institutions should          take into account relevant consumer protection considerations and requirements, and          ensure fair treatment of consumers.	0
